subcellular_location,count
Cell membrane:Endoplasmic reticulum membrane:Membrane,14
"Cytoplasmic vesicle, autophagosome membrane:Vacuole membrane:Cytoplasm, cytoskeleton",14
Apical cell membrane:Basolateral cell membrane,14
Nucleus:Membrane,14
"Nucleus, nucleolus:Nucleus speckle",14
"Cell junction, focal adhesion",14
"Nucleus:Nucleus, nucleolus:Chromosome",14
"Cytoplasm, cytosol:Mitochondrion intermembrane space",14
Late endosome,13
Endoplasmic reticulum membrane:Vacuole membrane,13
Nucleus:Cytoplasm:Endoplasmic reticulum,13
"Cytoplasm, cytosol:Cytoplasm",13
"Cytoplasm, cytosol:Inflammasome",13
Zona pellucida:Cell membrane,13
Vesicle,13
Nucleus:Cytoplasm:Membrane,13
Membrane:Vacuole lumen,13
Endoplasmic reticulum membrane:Membrane:Nucleus membrane:Rough endoplasmic reticulum membrane,13
"Golgi apparatus:Membrane, clathrin-coated pit",13
"Nucleus:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome",13
Endoplasmic reticulum membrane:Membrane:Preautophagosomal structure membrane,13
"Nucleus:Chromosome:Chromosome, telomere",13
Endoplasmic reticulum membrane:Membrane:Nucleus,13
"Cytoplasmic vesicle, clathrin-coated vesicle membrane",13
Cytoplasm:Chromosome,13
Membrane:Nucleus outer membrane,13
Cell membrane:Early endosome membrane:Endosome membrane:Membrane,13
"Cytoplasm, cytoskeleton:Cytoplasm, cytoskeleton, spindle",13
"Cell membrane:Cell junction, desmosome",13
"Cell membrane:Membrane:Secreted, extracellular exosome",13
"Nucleus, Cajal body",13
"Cell membrane:Membrane:Secreted, cell wall",13
Mitochondrion matrix:Mitochondrion,13
Sarcoplasmic reticulum lumen,13
Mitochondrion matrix:Cytoplasm,13
"Cytoplasm, myofibril, sarcomere",13
"Secreted:Secreted, cell wall",13
"Secreted:Secreted, extracellular space",13
"Cell membrane:Golgi apparatus, trans-Golgi network membrane",13
Basolateral cell membrane:Cell membrane:Lateral cell membrane:Membrane,13
Nucleus speckle:Cytoplasm,12
"Nucleus, nucleoplasm:Nucleus speckle",12
"Nucleus, nucleolus:Cytoplasm:Nucleus",12
"Secreted, cell wall:Cell membrane",12
Lysosome:Secreted,12
Secreted:Cytoplasm:Nucleus,12
Endoplasmic reticulum:Lipid droplet,12
Cell membrane:Cytoplasmic vesicle,12
"Cell membrane:Secreted, extracellular space, extracellular matrix",12
Secreted:Host cytoplasm,12
"Cytoplasm, cytoskeleton, cilium axoneme:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole",12
Endoplasmic reticulum:Endoplasmic reticulum membrane,12
"Cytoplasm, myofibril, sarcomere, M line",12
Cytoplasm:Nucleus:Endoplasmic reticulum membrane,12
Cell inner membrane:Cytoplasm:Membrane,12
"Cytoplasm:Cytoplasm, cytoskeleton, spindle",12
Cytoplasm:Golgi apparatus membrane:Membrane,12
Cell membrane:Secreted:Secreted,12
"Cytoplasm:Cytoplasm, cytoskeleton:Nucleus",12
Cytoplasm:Nucleus:Mitochondrion outer membrane,12
Preautophagosomal structure membrane:Vacuole membrane,12
Cell membrane:Endoplasmic reticulum,12
Lysosome:Membrane,12
Microsome:Endoplasmic reticulum,12
"Cytoplasm:Nucleus:Nucleus, PML body",12
"Plastid, chloroplast stroma:Plastid, chloroplast thylakoid membrane",12
Cytoplasm:Nucleus:Mitochondrion intermembrane space,12
Cell membrane:Postsynaptic density:Synapse,11
"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite",11
"Cytoplasmic vesicle, phagosome membrane:Early endosome membrane:Endosome membrane:Membrane",11
Cell membrane:Nucleus:Cytoplasm,11
"Nucleus:Nucleus, nucleolus:Nucleus, nucleoplasm",11
Endoplasmic reticulum:Protein storage vacuole:Vacuole,11
Midbody,11
Cytoplasm:Mitochondrion matrix,11
Nucleus:Secreted,11
"Cytoplasm, cytoskeleton, phragmoplast",11
Endosome membrane:Late endosome membrane:Membrane,11
"Secreted:Cytoplasmic vesicle, secretory vesicle",11
