uniprot_description,count
"Alpha-1,3-glucosyltransferase",39
Pkinase domain containing protein,39
10A19I.15,39
GntR family transcriptional regulator,39
"Alpha-1,3/1,6-mannosyltransferase ALG2",39
Diphosphomevalonate decarboxylase,39
Protein arginine methyltransferase NDUFAF7,39
Cyclin N-terminal domain-containing protein,39
Magnesium transporter,39
CENP-V/GFA domain-containing protein,39
Threonyl-tRNA synthetase,39
POU domain protein,39
PID domain-containing protein,39
Methyltransferase domain protein,39
DNA polymerase kappa,39
5'-nucleotidase,39
CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,39
TFIIS N-terminal domain-containing protein,39
Isopentenyl-diphosphate Delta-isomerase,39
Calpain catalytic domain-containing protein,39
1-phosphatidylinositol 4-kinase,39
Retrotransposon-like protein,39
RNA exonuclease 4,38
Phosphoenolpyruvate carboxykinase (ATP),38
"ATP-dependent RNA helicase, putative",38
Serine/threonine-protein phosphatase 2A activator,38
RGS domain-containing protein,38
Inositol-pentakisphosphate 2-kinase,38
